date,description,amount,type,category,merchant,city
2024-04-30,prime video subscription,2540,credit,shopping,Insider,Delhi
2024-09-18,concert tickets,250,debit,grocery,Reliance Smart,Hyderabad
2024-10-26,bus ticket,200,credit,grocery,Uber,Hyderabad
2024-06-19,petrol pump fuel,400,debit,fuel,JioFiber,Hyderabad
2024-03-28,grocery store purchase,590,credit,shopping,D-Mart,Mumbai
2024-11-17,movie ticket booking,450,credit,transport,Ola,Hyderabad
2024-11-06,bus ticket,2480,credit,transport,Amazon,Chennai
2024-01-02,restaurant dinner,480,credit,subscription,Reliance Smart,Delhi
2024-01-06,concert tickets,310,debit,transport,MakeMyTrip,Bangalore
2024-10-18,concert tickets,340,credit,transport,State Transport,Chennai
2024-04-18,pharmacy medicine purchase,1840,credit,grocery,BigBasket,Delhi
2024-09-18,electricity bill payment,940,credit,bills,Steam,Bangalore
2024-05-03,internet bill payment,1160,debit,bills,Apollo Pharmacy,Delhi
2024-03-31,bus ticket,1190,credit,transport,Amazon,Bangalore
2024-12-05,internet bill payment,810,debit,bills,Zepto,Mumbai
2024-05-07,restaurant dinner,2210,debit,food,RedBus,Delhi
2024-08-27,concert tickets,430,debit,grocery,BigBasket,Hyderabad
2024-07-15,zomato food delivery,1370,debit,entertainment,BESCOM,Chennai
2024-02-28,ola cab ride,730,debit,transport,Airtel,Chennai
2024-11-15,train booking,1880,credit,food,Swiggy,Pune
2024-02-10,spotify premium,460,credit,transport,MakeMyTrip,Mumbai
2024-03-06,flipkart shopping order,810,credit,shopping,Apollo Pharmacy,Hyderabad
2024-08-11,mobile recharge,1490,credit,bills,Insider,Hyderabad
2024-06-23,gaming purchase,310,credit,subscription,Spotify,Hyderabad
2024-07-24,internet bill payment,370,credit,bills,Disney+,Bangalore
2024-09-23,diesel refill,100,debit,bills,Vi,Delhi
2024-10-25,gaming purchase,240,credit,transport,Zomato,Pune
2024-04-25,supermarket shopping,380,credit,food,Swiggy,Pune
2024-09-14,movie ticket booking,190,credit,transport,Uber,Mumbai
2024-01-24,internet bill payment,180,credit,bills,Prime Video,Pune
2024-12-01,ola cab ride,1100,debit,fuel,Swiggy,Bangalore
2024-06-10,mobile recharge,780,debit,fuel,Shell,Pune
2024-11-14,electricity bill payment,700,credit,food,Vi,Bangalore
2024-03-30,restaurant dinner,30,credit,transport,TSSPDCL,Bangalore
2024-08-23,netflix subscription,2300,debit,subscription,MSEDCL,Pune
2024-09-07,concert tickets,280,credit,bills,BESCOM,Bangalore
2024-11-26,internet bill payment,290,credit,bills,IndianOil,Delhi
2024-03-05,petrol pump fuel,760,credit,fuel,Zepto,Hyderabad
2024-03-09,movie ticket booking,140,credit,entertainment,Xbox,Mumbai
2024-12-03,electricity bill payment,1600,credit,bills,PlayStation,Hyderabad
2024-07-31,grocery store purchase,540,credit,shopping,Reliance Smart,Chennai
2024-10-26,movie ticket booking,1390,credit,bills,JioFiber,Chennai
2024-08-04,gaming purchase,460,credit,shopping,Amazon,Chennai
2024-07-04,spotify premium,580,credit,food,State Transport,Pune
2024-08-13,ola cab ride,1020,debit,shopping,TSSPDCL,Hyderabad
2024-08-26,flipkart shopping order,1120,credit,shopping,IndianOil,Mumbai
2024-05-28,flipkart shopping order,890,debit,shopping,TSSPDCL,Delhi
2024-01-08,swiggy food order,720,debit,food,TSSPDCL,Mumbai
2024-09-02,train booking,370,credit,food,MSEDCL,Hyderabad
2024-09-14,flipkart shopping order,2120,credit,fuel,Uber,Mumbai
2024-04-22,electricity bill payment,2780,credit,bills,MakeMyTrip,Bangalore
2024-06-25,pharmacy medicine purchase,4160,credit,grocery,Zepto,Hyderabad
2024-01-25,train booking,410,credit,transport,Ola,Delhi
2024-08-08,spotify premium,2030,debit,subscription,1mg,Mumbai
2024-05-16,petrol pump fuel,1860,debit,shopping,Uber,Delhi
2024-05-09,bus ticket,2430,debit,transport,Apollo Pharmacy,Pune
2024-02-03,netflix subscription,760,credit,bills,Airtel,Chennai
2024-11-07,petrol pump fuel,610,credit,fuel,Blinkit,Bangalore
2024-03-21,diesel refill,340,credit,subscription,Spotify,Hyderabad
2024-08-15,internet bill payment,320,credit,bills,Spotify,Mumbai
2024-01-21,petrol pump fuel,280,debit,fuel,RedBus,Bangalore
2024-10-13,electricity bill payment,2730,credit,shopping,Flipkart,Pune
2024-08-20,netflix subscription,180,credit,transport,Apple Music,Bangalore
2024-09-28,zomato food delivery,380,debit,entertainment,Prime Video,Chennai
2024-05-03,swiggy food order,190,credit,food,Insider,Bangalore
2024-04-13,petrol pump fuel,2370,debit,fuel,Zepto,Mumbai
2024-08-23,internet bill payment,1360,credit,grocery,Blinkit,Bangalore
2024-10-10,mobile recharge,310,debit,grocery,Zomato,Delhi
2024-04-01,uber ride,610,debit,transport,BESCOM,Pune
2024-12-10,mobile recharge,570,credit,fuel,BPCL,Pune
2024-11-19,prime video subscription,430,credit,subscription,Flipkart,Bangalore
2024-04-27,flipkart shopping order,380,credit,food,Dineout,Hyderabad
2024-07-20,grocery store purchase,490,debit,transport,Prime Video,Bangalore
2024-12-04,netflix subscription,190,debit,subscription,Flipkart,Delhi
2024-10-10,swiggy food order,270,credit,food,IRCTC,Chennai
2024-04-25,zomato food delivery,1570,debit,food,BESCOM,Mumbai
2024-06-29,zomato food delivery,870,credit,food,Zepto,Delhi
2024-01-05,pharmacy medicine purchase,1340,debit,entertainment,Amazon,Bangalore
2024-11-04,supermarket shopping,2970,debit,transport,IRCTC,Bangalore
2024-01-07,flipkart shopping order,720,credit,shopping,MSEDCL,Chennai
2024-01-01,bus ticket,2470,credit,transport,Blinkit,Chennai
2024-06-02,electricity bill payment,1110,credit,bills,Vi,Mumbai
2024-03-02,restaurant dinner,1440,debit,food,Ola,Delhi
2024-10-18,movie ticket booking,150,debit,grocery,BigBasket,Delhi
2024-12-05,concert tickets,190,debit,subscription,Netflix,Pune
2024-09-16,grocery store purchase,430,debit,transport,Steam,Chennai
2024-03-11,netflix subscription,190,debit,subscription,1mg,Delhi
2024-07-10,grocery store purchase,820,credit,shopping,RedBus,Chennai
2024-02-09,concert tickets,200,credit,entertainment,PlayStation,Bangalore
2024-06-10,prime video subscription,1130,debit,subscription,HPCL,Bangalore
2024-03-06,zomato food delivery,250,debit,food,Blinkit,Delhi
2024-03-04,flipkart shopping order,1290,credit,shopping,Netflix,Bangalore
2024-10-01,grocery store purchase,670,debit,shopping,Spotify,Bangalore
2024-05-15,netflix subscription,580,credit,subscription,HPCL,Mumbai
2024-06-25,amazon purchase,1970,credit,shopping,Zomato,Bangalore
2024-03-05,train booking,1190,credit,grocery,Netmeds,Bangalore
2024-01-26,grocery store purchase,240,credit,shopping,JioFiber,Mumbai
2024-10-20,diesel refill,2050,credit,fuel,HPCL,Pune
2024-11-08,swiggy food order,2310,credit,food,BESCOM,Pune
2024-06-22,zomato food delivery,650,debit,subscription,Spotify,Pune
2024-07-31,diesel refill,1050,debit,grocery,Apple Music,Mumbai
2024-01-07,internet bill payment,3560,debit,bills,Zepto,Hyderabad
2024-11-05,mobile recharge,630,debit,fuel,Shell,Pune
2024-03-11,spotify premium,830,debit,subscription,Apollo Pharmacy,Mumbai
2024-08-12,flipkart shopping order,1020,debit,shopping,Disney+,Hyderabad
2024-11-21,train booking,490,credit,fuel,Shell,Bangalore
2024-03-11,petrol pump fuel,520,debit,fuel,Netmeds,Bangalore
2024-09-06,electricity bill payment,770,debit,subscription,Airtel,Bangalore
2024-07-16,netflix subscription,60,credit,subscription,Ola,Hyderabad
2024-05-30,uber ride,450,debit,transport,Netflix,Bangalore
2024-02-09,spotify premium,3160,debit,shopping,Steam,Bangalore
2024-05-26,pharmacy medicine purchase,1900,debit,entertainment,MSEDCL,Hyderabad
2024-07-03,concert tickets,290,debit,shopping,Flipkart,Hyderabad
2024-08-30,pharmacy medicine purchase,1240,debit,entertainment,Xbox,Pune
2024-05-15,concert tickets,2240,debit,subscription,Prime Video,Pune
2024-11-29,electricity bill payment,270,debit,bills,Airtel,Delhi
2024-08-03,swiggy food order,1630,credit,food,BigBasket,Bangalore
2024-09-26,grocery store purchase,450,debit,shopping,Apollo Pharmacy,Pune
2024-10-15,swiggy food order,2200,credit,food,MSEDCL,Pune
2024-05-26,mobile recharge,300,debit,transport,MakeMyTrip,Hyderabad
2024-03-24,ola cab ride,680,debit,transport,Blinkit,Chennai
2024-08-29,petrol pump fuel,430,debit,subscription,Vi,Pune
2024-02-01,concert tickets,700,credit,transport,Uber,Pune
2024-06-16,netflix subscription,1480,debit,subscription,BESCOM,Bangalore
2024-12-03,bus ticket,550,credit,transport,PVR,Chennai
2024-01-11,ola cab ride,650,credit,food,BPCL,Hyderabad
2024-06-16,netflix subscription,620,debit,subscription,JioFiber,Pune
2024-12-09,pharmacy medicine purchase,790,debit,grocery,D-Mart,Chennai
2024-07-25,zomato food delivery,1630,credit,food,HPCL,Hyderabad
2024-04-14,bus ticket,1610,credit,transport,Airtel,Delhi
2024-05-18,uber ride,2240,debit,transport,BPCL,Bangalore
2024-06-29,internet bill payment,520,credit,bills,Netflix,Chennai
2024-08-21,train booking,1190,debit,shopping,PVR,Chennai
2024-04-04,movie ticket booking,1890,debit,fuel,Amazon,Delhi
2024-02-19,prime video subscription,1020,credit,subscription,PlayStation,Delhi
2024-12-09,internet bill payment,2900,debit,shopping,Zepto,Chennai
2024-06-16,electricity bill payment,1340,credit,bills,Apple Music,Mumbai
2024-06-21,internet bill payment,2930,credit,bills,Ola,Pune
2024-06-14,electricity bill payment,1590,debit,fuel,D-Mart,Bangalore
2024-04-22,petrol pump fuel,330,debit,transport,PVR,Bangalore
2024-03-01,internet bill payment,520,debit,food,Zomato,Chennai
2024-12-13,amazon purchase,790,credit,subscription,Ola,Hyderabad
2024-01-08,swiggy food order,1910,debit,entertainment,Apollo Pharmacy,Mumbai
2024-08-08,prime video subscription,1180,credit,subscription,PlayStation,Mumbai
2024-11-02,amazon purchase,250,debit,shopping,Disney+,Mumbai
2024-11-30,electricity bill payment,340,debit,bills,ACT Fibernet,Pune
2024-02-13,amazon purchase,130,credit,shopping,BPCL,Bangalore
2024-06-28,concert tickets,940,credit,shopping,PVR,Bangalore
2024-07-04,mobile recharge,290,debit,shopping,Amazon,Delhi
2024-03-11,zomato food delivery,1640,debit,entertainment,Uber,Hyderabad
2024-03-19,supermarket shopping,740,debit,transport,Uber,Pune
2024-02-10,spotify premium,490,debit,transport,Netmeds,Delhi
2024-08-20,concert tickets,380,debit,transport,Ola,Pune
2024-04-23,amazon purchase,2220,debit,shopping,Disney+,Chennai
2024-12-15,zomato food delivery,270,credit,food,BookMyShow,Pune
2024-11-02,concert tickets,240,debit,food,IRCTC,Bangalore
2024-12-02,prime video subscription,300,credit,bills,Apple Music,Chennai
2024-02-08,movie ticket booking,330,credit,bills,Vi,Hyderabad
2024-05-18,internet bill payment,830,debit,bills,Amazon,Mumbai
2024-10-28,grocery store purchase,690,debit,shopping,BESCOM,Chennai
2024-11-29,restaurant dinner,1790,debit,food,IndianOil,Bangalore
2024-03-07,pharmacy medicine purchase,2130,credit,fuel,Spotify,Hyderabad
2024-02-29,diesel refill,1000,debit,entertainment,Steam,Pune
2024-10-15,ola cab ride,1310,debit,transport,MakeMyTrip,Mumbai
2024-06-06,train booking,470,debit,food,Zomato,Bangalore
2024-02-13,spotify premium,720,debit,subscription,BPCL,Bangalore
2024-01-26,ola cab ride,680,debit,transport,Reliance Smart,Delhi
2024-01-17,gaming purchase,2580,debit,bills,Airtel,Delhi
2024-10-31,amazon purchase,1340,credit,entertainment,Apple Music,Chennai
2024-06-01,diesel refill,3820,credit,shopping,Amazon,Delhi
2024-10-24,prime video subscription,230,credit,subscription,MakeMyTrip,Bangalore
2024-05-24,train booking,200,credit,grocery,Uber,Hyderabad
2024-09-30,zomato food delivery,1250,debit,food,BookMyShow,Delhi
2024-10-11,grocery store purchase,550,debit,shopping,Vi,Pune
2024-09-29,netflix subscription,1720,credit,subscription,Uber,Pune
2024-03-26,spotify premium,3690,credit,subscription,D-Mart,Delhi
2024-12-14,prime video subscription,1310,debit,subscription,PVR,Hyderabad
2024-03-23,supermarket shopping,1570,credit,bills,Jio,Hyderabad
2024-06-07,diesel refill,910,credit,entertainment,Blinkit,Mumbai
2024-09-27,zomato food delivery,900,debit,food,Apollo Pharmacy,Pune
2024-06-01,restaurant dinner,140,credit,food,Netmeds,Pune
2024-02-25,prime video subscription,480,debit,subscription,Ola,Mumbai
2024-01-19,uber ride,1210,debit,transport,Blinkit,Hyderabad
2024-02-07,amazon purchase,2850,debit,shopping,RedBus,Delhi
2024-09-13,flipkart shopping order,620,credit,shopping,PlayStation,Bangalore
2024-06-18,concert tickets,250,debit,food,BESCOM,Chennai
2024-10-28,ola cab ride,330,credit,transport,Airtel,Bangalore
2024-09-14,uber ride,1860,credit,transport,ACT Fibernet,Mumbai
2024-10-06,mobile recharge,1300,debit,transport,RedBus,Chennai
2024-02-17,restaurant dinner,440,debit,food,Disney+,Mumbai
2024-08-24,electricity bill payment,2100,credit,bills,PlayStation,Chennai
2024-06-04,spotify premium,170,credit,subscription,Disney+,Bangalore
2024-10-03,swiggy food order,830,credit,food,Blinkit,Mumbai
2024-05-12,movie ticket booking,1120,debit,entertainment,Airtel,Pune
2024-05-05,diesel refill,1290,debit,grocery,Reliance Smart,Chennai
2024-06-25,concert tickets,530,debit,subscription,Disney+,Hyderabad
2024-10-27,diesel refill,950,debit,subscription,Apple Music,Chennai
2024-02-24,electricity bill payment,1970,debit,fuel,HPCL,Bangalore
2024-08-31,restaurant dinner,340,debit,subscription,Disney+,Chennai
2024-11-21,swiggy food order,1190,debit,food,Spotify,Hyderabad
2024-11-14,uber ride,70,debit,transport,Dineout,Mumbai
2024-01-09,mobile recharge,4090,credit,bills,ACT Fibernet,Delhi
2024-06-03,prime video subscription,760,credit,food,Airtel,Bangalore
2024-11-10,petrol pump fuel,3080,credit,shopping,Disney+,Delhi
2024-06-25,spotify premium,490,credit,food,D-Mart,Chennai
2024-08-18,train booking,530,debit,grocery,Zepto,Delhi
2024-05-26,grocery store purchase,180,debit,shopping,Netmeds,Chennai
2024-03-07,prime video subscription,1630,credit,shopping,Amazon,Hyderabad
2024-01-29,swiggy food order,4090,debit,food,Zepto,Pune
2024-11-15,electricity bill payment,1850,credit,bills,IndianOil,Pune
2024-07-04,uber ride,1010,debit,bills,Reliance Smart,Bangalore
2024-07-22,train booking,410,credit,fuel,IndianOil,Hyderabad
2024-07-13,prime video subscription,150,credit,subscription,Swiggy,Chennai
2024-04-08,ola cab ride,2280,debit,bills,BESCOM,Delhi
2024-03-10,swiggy food order,1200,debit,food,Dineout,Chennai
2024-07-15,ola cab ride,310,debit,transport,Netmeds,Chennai
2024-09-21,prime video subscription,1090,credit,entertainment,IRCTC,Bangalore
2024-07-22,gaming purchase,440,credit,shopping,State Transport,Mumbai
2024-01-08,zomato food delivery,230,credit,food,Prime Video,Mumbai
2024-09-22,diesel refill,530,credit,grocery,1mg,Mumbai
2024-08-04,uber ride,1460,credit,transport,Netflix,Mumbai
2024-06-09,petrol pump fuel,530,credit,fuel,1mg,Delhi
2024-11-24,gaming purchase,170,credit,grocery,Zepto,Chennai
2024-07-22,concert tickets,420,credit,subscription,Apple Music,Pune
2024-10-23,amazon purchase,1290,credit,shopping,Zepto,Delhi
2024-02-02,petrol pump fuel,1950,credit,fuel,Blinkit,Chennai
2024-02-28,uber ride,580,debit,transport,Vi,Chennai
2024-01-15,diesel refill,1190,debit,bills,Airtel,Pune
2024-11-27,supermarket shopping,320,debit,subscription,Apollo Pharmacy,Delhi
2024-12-27,mobile recharge,290,credit,transport,Ola,Chennai
2024-10-13,uber ride,890,credit,subscription,Spotify,Hyderabad
2024-03-08,petrol pump fuel,320,credit,fuel,Steam,Bangalore
2024-10-20,supermarket shopping,420,debit,food,Swiggy,Mumbai
2024-06-22,bus ticket,700,debit,transport,Airtel,Chennai
2024-11-01,petrol pump fuel,340,debit,fuel,Vi,Hyderabad
2024-12-11,amazon purchase,160,debit,subscription,D-Mart,Chennai
2024-09-10,petrol pump fuel,1330,debit,fuel,Amazon,Delhi
2024-07-08,spotify premium,530,credit,subscription,TSSPDCL,Mumbai
2024-01-08,electricity bill payment,610,credit,bills,ACT Fibernet,Bangalore
2024-04-24,flipkart shopping order,560,debit,shopping,ACT Fibernet,Pune
2024-10-17,uber ride,1790,debit,transport,1mg,Bangalore
2024-07-07,restaurant dinner,1090,credit,food,MSEDCL,Chennai
2024-12-30,amazon purchase,1200,credit,shopping,Zomato,Bangalore
2024-05-27,internet bill payment,1050,debit,grocery,Netmeds,Bangalore
2024-12-11,amazon purchase,970,credit,subscription,1mg,Delhi
2024-02-05,supermarket shopping,260,debit,fuel,BPCL,Hyderabad
2024-07-23,amazon purchase,540,credit,subscription,Spotify,Chennai
2024-11-22,spotify premium,280,debit,subscription,Steam,Bangalore
2024-07-11,supermarket shopping,2940,debit,bills,Jio,Mumbai
2024-12-14,spotify premium,1720,credit,subscription,Vi,Bangalore
2024-10-13,spotify premium,1220,credit,subscription,Xbox,Bangalore
2024-04-22,flipkart shopping order,290,credit,entertainment,ACT Fibernet,Hyderabad
2024-08-24,supermarket shopping,470,debit,entertainment,Amazon,Bangalore
2024-06-15,mobile recharge,970,debit,subscription,Steam,Chennai
2024-01-30,ola cab ride,270,debit,food,ACT Fibernet,Pune
2024-12-23,bus ticket,420,credit,transport,Netmeds,Delhi
2024-11-30,swiggy food order,470,credit,food,Apollo Pharmacy,Bangalore
2024-07-31,netflix subscription,3260,credit,subscription,D-Mart,Hyderabad
2024-07-29,flipkart shopping order,430,credit,subscription,Reliance Smart,Delhi
2024-12-03,grocery store purchase,580,credit,fuel,Ola,Delhi
2024-01-14,grocery store purchase,960,debit,shopping,Swiggy,Chennai
2024-12-20,flipkart shopping order,1110,credit,shopping,State Transport,Delhi
2024-10-06,uber ride,1900,credit,transport,Apollo Pharmacy,Pune
2024-07-16,pharmacy medicine purchase,720,credit,shopping,JioFiber,Hyderabad
2024-06-03,diesel refill,1270,debit,bills,Ola,Bangalore
2024-02-12,movie ticket booking,1390,credit,bills,Apple Music,Bangalore
2024-09-28,gaming purchase,2780,debit,fuel,Vi,Chennai
2024-04-16,bus ticket,360,debit,bills,HPCL,Pune
2024-08-15,gaming purchase,2020,debit,transport,IRCTC,Hyderabad
2024-12-09,diesel refill,350,credit,transport,Uber,Delhi
2024-02-24,spotify premium,2300,credit,subscription,RedBus,Delhi
2024-10-25,movie ticket booking,770,credit,subscription,RedBus,Delhi
2024-04-21,diesel refill,210,credit,entertainment,Blinkit,Delhi
2024-06-10,ola cab ride,470,credit,bills,Dineout,Hyderabad
2024-04-30,train booking,1610,debit,entertainment,Spotify,Pune
2024-02-22,supermarket shopping,1260,debit,entertainment,PlayStation,Delhi
2024-10-22,netflix subscription,1600,credit,bills,BPCL,Mumbai
2024-03-14,gaming purchase,2370,credit,transport,RedBus,Mumbai
2024-08-14,restaurant dinner,4040,credit,shopping,IndianOil,Delhi
2024-01-08,amazon purchase,900,credit,grocery,Insider,Hyderabad
2024-03-14,spotify premium,1790,debit,subscription,HPCL,Hyderabad
2024-02-28,train booking,1140,credit,grocery,Dineout,Chennai
2024-06-27,grocery store purchase,490,credit,shopping,Dineout,Pune
2024-12-17,supermarket shopping,980,debit,fuel,BPCL,Hyderabad
2024-08-12,pharmacy medicine purchase,780,debit,food,Reliance Smart,Chennai
2024-02-27,pharmacy medicine purchase,1770,credit,transport,MakeMyTrip,Mumbai
2024-08-10,zomato food delivery,1120,credit,food,Flipkart,Hyderabad
2024-12-31,petrol pump fuel,1300,debit,fuel,Ola,Bangalore
2024-02-04,diesel refill,660,debit,transport,Uber,Delhi
2024-12-16,movie ticket booking,740,credit,subscription,Swiggy,Mumbai
2024-12-11,movie ticket booking,940,debit,fuel,Spotify,Chennai
2024-03-14,supermarket shopping,670,credit,grocery,1mg,Pune
2024-05-22,movie ticket booking,380,debit,grocery,BigBasket,Delhi
2024-03-14,electricity bill payment,450,credit,bills,Blinkit,Bangalore
2024-05-18,diesel refill,1530,credit,entertainment,Steam,Chennai
2024-10-30,flipkart shopping order,350,debit,entertainment,Dineout,Bangalore
2024-11-26,supermarket shopping,700,credit,bills,Jio,Delhi
2024-10-08,diesel refill,320,debit,bills,PlayStation,Chennai
2024-05-02,restaurant dinner,230,credit,food,PVR,Delhi
2024-03-21,restaurant dinner,2990,credit,shopping,Airtel,Delhi
2024-04-19,pharmacy medicine purchase,2120,credit,bills,BESCOM,Pune
2024-10-23,restaurant dinner,430,credit,food,Netflix,Pune
2024-06-22,spotify premium,230,debit,grocery,Xbox,Hyderabad
2024-03-07,movie ticket booking,1040,credit,grocery,Zepto,Hyderabad
2024-01-20,mobile recharge,4580,debit,shopping,PVR,Chennai
2024-12-17,mobile recharge,400,credit,subscription,Spotify,Hyderabad
2024-10-26,electricity bill payment,990,debit,bills,Vi,Hyderabad
2024-11-12,mobile recharge,470,debit,fuel,Shell,Chennai
2024-09-02,train booking,320,credit,subscription,Prime Video,Chennai
2024-09-11,ola cab ride,1760,debit,transport,MSEDCL,Bangalore
2024-12-12,amazon purchase,440,credit,shopping,BPCL,Chennai
2024-10-31,bus ticket,720,credit,transport,Flipkart,Chennai
2024-09-09,ola cab ride,290,debit,transport,PlayStation,Delhi
2024-12-05,swiggy food order,620,credit,food,ACT Fibernet,Bangalore
2024-09-16,uber ride,3080,debit,transport,IndianOil,Delhi
2024-05-08,ola cab ride,860,debit,transport,Dineout,Pune
2024-05-11,swiggy food order,1520,debit,entertainment,Netflix,Bangalore
2024-12-13,spotify premium,2780,credit,subscription,Insider,Delhi
2024-02-21,spotify premium,4810,debit,subscription,JioFiber,Hyderabad
2024-08-30,restaurant dinner,860,credit,food,TSSPDCL,Chennai
2024-06-02,mobile recharge,2900,credit,bills,TSSPDCL,Pune
2024-04-26,bus ticket,1510,credit,transport,Dineout,Mumbai
2024-10-04,flipkart shopping order,1980,debit,shopping,MSEDCL,Hyderabad
2024-02-17,pharmacy medicine purchase,420,credit,shopping,Insider,Chennai
2024-10-08,movie ticket booking,2340,credit,food,Swiggy,Delhi
2024-10-29,spotify premium,2780,debit,subscription,Uber,Pune
2024-06-23,gaming purchase,530,credit,grocery,State Transport,Mumbai
2024-04-02,supermarket shopping,250,credit,transport,MakeMyTrip,Pune
2024-03-10,restaurant dinner,1690,debit,food,MSEDCL,Pune
2024-05-31,zomato food delivery,1810,debit,food,TSSPDCL,Mumbai
